id1,id2,weight
1000 Years for Revenge,Bush vs. the Beltway,1
1000 Years for Revenge,Charlie Wilson's War,1
1000 Years for Revenge,Losing Bin Laden,1
1000 Years for Revenge,Sleeping With the Devil,1
1000 Years for Revenge,The Man Who Warned America,1
1000 Years for Revenge,Why America Slept,1
Bush vs. the Beltway,Losing Bin Laden,1
Bush vs. the Beltway,The Man Who Warned America,1
Bush vs. the Beltway,Why America Slept,1
Charlie Wilson's War,Sleeping With the Devil,1
Charlie Wilson's War,The Man Who Warned America,1
Charlie Wilson's War,Ghost Wars,1
Losing Bin Laden,The Man Who Warned America,1
Losing Bin Laden,A National Party No More,1
Losing Bin Laden,Bush Country,1
Losing Bin Laden,Dereliction of Duty,1
Losing Bin Laden,Legacy,1
Losing Bin Laden,Off with Their Heads,1
Losing Bin Laden,Persecution,1
Losing Bin Laden,Rumsfeld's War,1
Losing Bin Laden,Breakdown,1
Losing Bin Laden,Betrayal,1
Losing Bin Laden,Shut Up and Sing,1
Losing Bin Laden,Meant To Be,1
Losing Bin Laden,The Right Man,1
Losing Bin Laden,Ten Minutes from Normal,1
Losing Bin Laden,Hillary's Scheme,1
Losing Bin Laden,The French Betrayal of America,1
Losing Bin Laden,Tales from the Left Coast,1
Losing Bin Laden,Hating America,1
Losing Bin Laden,The Third Terrorist,1
Losing Bin Laden,Endgame,1
Losing Bin Laden,Spin Sisters,1
Sleeping With the Devil,The Man Who Warned America,1
Sleeping With the Devil,Why America Slept,1
Sleeping With the Devil,All the Shah's Men,1
Sleeping With the Devil,Dangerous Dimplomacy,1
Sleeping With the Devil,The Price of Loyalty,1
Sleeping With the Devil,"House of Bush, House of Saud",1
The Man Who Warned America,Why America Slept,1
The Man Who Warned America,Ghost Wars,1
Why America Slept,Ghost Wars,1
Why America Slept,Dereliction of Duty,1
Why America Slept,Off with Their Heads,1
Why America Slept,Meant To Be,1
Why America Slept,The French Betrayal of America,1
Why America Slept,The Third Terrorist,1
Why America Slept,Dangerous Dimplomacy,1
Ghost Wars,Rumsfeld's War,1
Ghost Wars,The Price of Loyalty,1
Ghost Wars,Rise of the Vulcans,1
Ghost Wars,Against All Enemies,1
Ghost Wars,Disarming Iraq,1
A National Party No More,Bush Country,1
A National Party No More,Dereliction of Duty,1
A National Party No More,Legacy,1
A National Party No More,Off with Their Heads,1
A National Party No More,Persecution,1
A National Party No More,Rumsfeld's War,1
A National Party No More,Ten Minutes from Normal,1
A National Party No More,Hillary's Scheme,1
A National Party No More,The French Betrayal of America,1
A National Party No More,Tales from the Left Coast,1
A National Party No More,Hating America,1
A National Party No More,Endgame,1
A National Party No More,Spin Sisters,1
A National Party No More,The Death of Right and Wrong,1
